Date,Category,Description,Amount,Payment_Method,Type
2024-01-29,Rent,Rent expense,12847.05,Cash,Expense
2024-01-29,Food,Food expense,233.09,Cash,Expense
2024-01-30,Food,Food expense,214.07,Credit Card,Expense
2024-01-30,Bills,Bills expense,1509.59,Debit Card,Expense
2024-01-30,Food,Food expense,240.44,Credit Card,Expense
2024-01-30,Food,Food expense,572.23,Credit Card,Expense
2024-01-31,Shopping,Shopping expense,910.82,Net Banking,Expense
2024-01-31,Others,Others expense,436.83,Debit Card,Expense
2024-01-31,Others,Others expense,646.0,Net Banking,Expense
2024-01-31,Food,Food expense,308.8,Cash,Expense
2024-01-31,Shopping,Shopping expense,3467.39,Net Banking,Expense
2024-02-01,Bills,Bills expense,1619.46,Debit Card,Expense
2024-02-01,Bills,Bills expense,1981.74,Credit Card,Expense
2024-02-01,Food,Food expense,327.24,Credit Card,Expense
2024-02-01,Food,Food expense,652.35,Net Banking,Expense
2024-02-01,Salary,Monthly Salary,50931.0,Net Banking,Income
2024-02-02,Others,Others expense,628.3,UPI,Expense
2024-02-02,Entertainment,Entertainment expense,1616.86,UPI,Expense
2024-02-02,Food,Food expense,431.15,UPI,Expense
2024-02-02,Shopping,Shopping expense,4320.12,Credit Card,Expense
2024-02-03,Transport,Transport expense,133.51,Cash,Expense
2024-02-03,Shopping,Shopping expense,4085.61,Net Banking,Expense
2024-02-04,Transport,Transport expense,75.2,Cash,Expense
2024-02-05,Education,Education expense,2686.65,Net Banking,Expense
2024-02-05,Bills,Bills expense,2594.28,Cash,Expense
2024-02-05,Shopping,Shopping expense,3729.04,Net Banking,Expense
2024-02-05,Food,Food expense,456.09,Debit Card,Expense
2024-02-06,Shopping,Shopping expense,1297.04,UPI,Expense
2024-02-06,Food,Food expense,786.63,UPI,Expense
2024-02-06,Bills,Bills expense,1152.07,Net Banking,Expense
2024-02-06,Others,Others expense,1449.86,Debit Card,Expense
2024-02-06,Bills,Bills expense,2706.59,Debit Card,Expense
2024-02-07,Food,Food expense,259.15,Debit Card,Expense
2024-02-08,Shopping,Shopping expense,4263.97,Credit Card,Expense
2024-02-08,Health,Health expense,1737.13,Cash,Expense
2024-02-08,Health,Health expense,3433.53,UPI,Expense
2024-02-08,Education,Education expense,4819.37,Debit Card,Expense
2024-02-09,Shopping,Shopping expense,2987.3,Credit Card,Expense
2024-02-09,Transport,Transport expense,471.86,Net Banking,Expense
2024-02-09,Others,Others expense,461.69,UPI,Expense
2024-02-09,Transport,Transport expense,258.24,Debit Card,Expense
2024-02-09,Transport,Transport expense,497.4,Net Banking,Expense
2024-02-10,Food,Food expense,63.56,Credit Card,Expense
2024-02-10,Rent,Rent expense,9251.76,Credit Card,Expense
2024-02-10,Transport,Transport expense,379.76,Debit Card,Expense
2024-02-10,Shopping,Shopping expense,1678.69,Credit Card,Expense
2024-02-10,Bills,Bills expense,1772.04,Net Banking,Expense
2024-02-11,Shopping,Shopping expense,1402.22,UPI,Expense
2024-02-11,Bills,Bills expense,2947.23,Net Banking,Expense
2024-02-11,Rent,Rent expense,14342.69,Debit Card,Expense
2024-02-11,Transport,Transport expense,194.54,Cash,Expense
2024-02-11,Shopping,Shopping expense,3410.84,UPI,Expense
2024-02-12,Health,Health expense,1074.7,Debit Card,Expense
2024-02-13,Rent,Rent expense,12004.03,Credit Card,Expense
2024-02-13,Entertainment,Entertainment expense,182.85,UPI,Expense
2024-02-13,Others,Others expense,731.42,Credit Card,Expense
2024-02-14,Food,Food expense,712.62,UPI,Expense
2024-02-14,Shopping,Shopping expense,4774.74,UPI,Expense
2024-02-14,Transport,Transport expense,289.8,Cash,Expense
2024-02-14,Bills,Bills expense,2950.83,UPI,Expense
2024-02-14,Food,Food expense,279.27,Net Banking,Expense
2024-02-15,Food,Food expense,251.36,Credit Card,Expense
2024-02-15,Rent,Rent expense,10608.81,Cash,Expense
2024-02-16,Transport,Transport expense,426.78,Credit Card,Expense
2024-02-16,Education,Education expense,887.29,Debit Card,Expense
2024-02-16,Food,Food expense,553.36,Net Banking,Expense
2024-02-16,Transport,Transport expense,149.46,Net Banking,Expense
2024-02-16,Food,Food expense,291.91,Cash,Expense
2024-02-17,Entertainment,Entertainment expense,359.58,Net Banking,Expense
2024-02-17,Shopping,Shopping expense,2853.54,Credit Card,Expense
2024-02-18,Food,Food expense,364.84,Cash,Expense
2024-02-18,Food,Food expense,508.64,Debit Card,Expense
2024-02-18,Food,Food expense,53.89,Cash,Expense
2024-02-19,Shopping,Shopping expense,1132.51,Cash,Expense
2024-02-19,Food,Food expense,347.59,UPI,Expense
2024-02-19,Food,Food expense,714.96,Credit Card,Expense
2024-02-19,Food,Food expense,484.15,Credit Card,Expense
2024-02-19,Transport,Transport expense,345.85,UPI,Expense
2024-02-20,Transport,Transport expense,102.87,UPI,Expense
2024-02-20,Others,Others expense,1266.45,Net Banking,Expense
2024-02-20,Health,Health expense,1150.96,Net Banking,Expense
2024-02-21,Food,Food expense,277.45,Net Banking,Expense
2024-02-21,Bills,Bills expense,1316.63,Credit Card,Expense
2024-02-22,Entertainment,Entertainment expense,615.93,UPI,Expense
2024-02-23,Others,Others expense,713.03,Credit Card,Expense
2024-02-24,Entertainment,Entertainment expense,469.32,UPI,Expense
2024-02-25,Transport,Transport expense,358.77,UPI,Expense
2024-02-25,Food,Food expense,149.56,Net Banking,Expense
2024-02-25,Others,Others expense,1086.16,Credit Card,Expense
2024-02-26,Food,Food expense,349.12,Cash,Expense
2024-02-26,Transport,Transport expense,379.7,Credit Card,Expense
2024-02-26,Food,Food expense,188.25,Net Banking,Expense
2024-02-27,Food,Food expense,371.24,Net Banking,Expense
2024-02-27,Shopping,Shopping expense,479.33,Net Banking,Expense
2024-02-28,Education,Education expense,2932.94,Credit Card,Expense
2024-02-28,Food,Food expense,120.4,Cash,Expense
2024-02-28,Food,Food expense,750.96,Cash,Expense
2024-02-28,Shopping,Shopping expense,2680.14,Credit Card,Expense
2024-02-29,Shopping,Shopping expense,2291.23,UPI,Expense
2024-03-01,Shopping,Shopping expense,429.04,Debit Card,Expense
2024-03-01,Bills,Bills expense,896.62,Cash,Expense
2024-03-01,Food,Food expense,306.41,Cash,Expense
2024-03-01,Food,Food expense,120.62,Cash,Expense
2024-03-01,Salary,Monthly Salary,50141.0,Net Banking,Income
2024-03-02,Health,Health expense,2873.9,UPI,Expense
2024-03-03,Rent,Rent expense,8684.84,Cash,Expense
2024-03-04,Rent,Rent expense,11314.3,UPI,Expense
2024-03-04,Food,Food expense,375.39,Credit Card,Expense
2024-03-04,Transport,Transport expense,319.45,Credit Card,Expense
2024-03-05,Shopping,Shopping expense,417.46,Net Banking,Expense
2024-03-05,Transport,Transport expense,324.15,Cash,Expense
2024-03-06,Bills,Bills expense,2641.22,Cash,Expense
2024-03-06,Shopping,Shopping expense,982.09,Credit Card,Expense
2024-03-07,Food,Food expense,531.81,Cash,Expense
2024-03-07,Food,Food expense,489.33,Credit Card,Expense
2024-03-07,Education,Education expense,3665.11,UPI,Expense
2024-03-08,Transport,Transport expense,332.35,Net Banking,Expense
2024-03-08,Rent,Rent expense,11819.32,UPI,Expense
2024-03-08,Education,Education expense,2623.56,UPI,Expense
2024-03-08,Others,Others expense,1362.76,Net Banking,Expense
2024-03-09,Food,Food expense,102.02,UPI,Expense
2024-03-10,Food,Food expense,63.67,Credit Card,Expense
2024-03-10,Food,Food expense,562.26,Cash,Expense
2024-03-11,Food,Food expense,289.23,Cash,Expense
2024-03-11,Entertainment,Entertainment expense,144.22,Credit Card,Expense
2024-03-11,Entertainment,Entertainment expense,635.52,Cash,Expense
2024-03-11,Food,Food expense,572.55,UPI,Expense
2024-03-12,Shopping,Shopping expense,4411.87,Cash,Expense
2024-03-12,Shopping,Shopping expense,4056.71,UPI,Expense
2024-03-13,Food,Food expense,183.08,Debit Card,Expense
2024-03-13,Entertainment,Entertainment expense,1632.99,Cash,Expense
2024-03-13,Others,Others expense,648.3,Debit Card,Expense
2024-03-13,Transport,Transport expense,394.91,Cash,Expense
2024-03-14,Transport,Transport expense,467.46,Cash,Expense
2024-03-14,Health,Health expense,1830.18,Credit Card,Expense
2024-03-14,Entertainment,Entertainment expense,1533.63,Credit Card,Expense
2024-03-14,Food,Food expense,726.91,Debit Card,Expense
2024-03-14,Bills,Bills expense,2566.14,Credit Card,Expense
2024-03-15,Transport,Transport expense,450.9,Net Banking,Expense
2024-03-16,Transport,Transport expense,35.09,UPI,Expense
2024-03-16,Education,Education expense,1002.08,Debit Card,Expense
2024-03-16,Transport,Transport expense,476.53,UPI,Expense
2024-03-16,Others,Others expense,881.48,UPI,Expense
2024-03-16,Shopping,Shopping expense,2352.54,Net Banking,Expense
2024-03-17,Food,Food expense,296.5,Net Banking,Expense
2024-03-17,Shopping,Shopping expense,3811.4,Net Banking,Expense
2024-03-17,Entertainment,Entertainment expense,1600.27,Credit Card,Expense
2024-03-17,Food,Food expense,420.82,UPI,Expense
2024-03-18,Food,Food expense,462.15,UPI,Expense
2024-03-18,Transport,Transport expense,447.22,Credit Card,Expense
2024-03-18,Transport,Transport expense,85.02,UPI,Expense
2024-03-18,Food,Food expense,621.13,Net Banking,Expense
2024-03-18,Shopping,Shopping expense,685.39,UPI,Expense
2024-03-19,Food,Food expense,575.73,Cash,Expense
2024-03-19,Food,Food expense,666.4,UPI,Expense
2024-03-20,Shopping,Shopping expense,590.47,Credit Card,Expense
2024-03-20,Food,Food expense,789.98,Net Banking,Expense
2024-03-20,Transport,Transport expense,204.2,Net Banking,Expense
2024-03-20,Entertainment,Entertainment expense,1899.77,UPI,Expense
2024-03-20,Others,Others expense,1142.4,Net Banking,Expense
2024-03-21,Transport,Transport expense,69.25,Cash,Expense
2024-03-22,Entertainment,Entertainment expense,1160.97,Net Banking,Expense
2024-03-22,Transport,Transport expense,455.99,Net Banking,Expense
2024-03-22,Food,Food expense,419.47,Debit Card,Expense
2024-03-22,Food,Food expense,401.5,Debit Card,Expense
2024-03-22,Food,Food expense,139.11,Credit Card,Expense
2024-03-23,Food,Food expense,536.91,Credit Card,Expense
2024-03-23,Shopping,Shopping expense,3000.17,Debit Card,Expense
2024-03-23,Others,Others expense,593.56,Cash,Expense
2024-03-24,Food,Food expense,701.45,Debit Card,Expense
2024-03-24,Food,Food expense,772.42,Cash,Expense
2024-03-25,Food,Food expense,777.41,UPI,Expense
2024-03-25,Food,Food expense,718.36,UPI,Expense
2024-03-25,Bills,Bills expense,2982.41,Cash,Expense
2024-03-26,Food,Food expense,465.39,Net Banking,Expense
2024-03-26,Others,Others expense,808.49,UPI,Expense
2024-03-26,Shopping,Shopping expense,3539.59,UPI,Expense
2024-03-26,Rent,Rent expense,12392.91,Net Banking,Expense
2024-03-26,Bills,Bills expense,2752.9,Credit Card,Expense
2024-03-27,Food,Food expense,260.72,Debit Card,Expense
2024-03-27,Others,Others expense,1340.88,Credit Card,Expense
2024-03-27,Rent,Rent expense,12340.93,Debit Card,Expense
2024-03-27,Food,Food expense,191.09,UPI,Expense
2024-03-27,Rent,Rent expense,10473.47,Credit Card,Expense
2024-03-28,Bills,Bills expense,694.34,Debit Card,Expense
2024-03-28,Others,Others expense,1480.01,Credit Card,Expense
2024-03-28,Shopping,Shopping expense,2773.26,Cash,Expense
2024-03-29,Transport,Transport expense,412.48,Debit Card,Expense
2024-03-29,Shopping,Shopping expense,980.56,Net Banking,Expense
2024-03-29,Education,Education expense,5023.95,Net Banking,Expense
2024-03-29,Education,Education expense,4491.46,UPI,Expense
2024-03-29,Shopping,Shopping expense,2207.57,Net Banking,Expense
2024-03-30,Education,Education expense,5263.35,UPI,Expense
2024-03-30,Food,Food expense,69.78,Credit Card,Expense
2024-03-30,Transport,Transport expense,410.96,Debit Card,Expense
2024-03-31,Others,Others expense,268.1,UPI,Expense
2024-04-01,Bills,Bills expense,1452.23,Credit Card,Expense
2024-04-01,Others,Others expense,1271.07,Debit Card,Expense
2024-04-01,Entertainment,Entertainment expense,990.52,Debit Card,Expense
2024-04-01,Transport,Transport expense,158.5,Net Banking,Expense
2024-04-01,Food,Food expense,698.54,Credit Card,Expense
2024-04-01,Salary,Monthly Salary,50000.0,Net Banking,Income
2024-04-02,Bills,Bills expense,2374.78,Credit Card,Expense
2024-04-02,Education,Education expense,3718.32,Debit Card,Expense
2024-04-02,Shopping,Shopping expense,3833.99,Net Banking,Expense
2024-04-03,Transport,Transport expense,143.31,Debit Card,Expense
2024-04-03,Food,Food expense,238.58,UPI,Expense
2024-04-03,Food,Food expense,205.42,UPI,Expense
2024-04-03,Health,Health expense,3076.6,Cash,Expense
2024-04-04,Food,Food expense,251.5,UPI,Expense
2024-04-04,Food,Food expense,423.62,UPI,Expense
2024-04-04,Rent,Rent expense,13819.6,Debit Card,Expense
2024-04-05,Transport,Transport expense,413.7,Debit Card,Expense
2024-04-05,Others,Others expense,178.19,Credit Card,Expense
2024-04-06,Entertainment,Entertainment expense,1220.92,Net Banking,Expense
2024-04-06,Rent,Rent expense,10943.75,Cash,Expense
2024-04-06,Entertainment,Entertainment expense,1314.79,Net Banking,Expense
2024-04-06,Entertainment,Entertainment expense,1815.99,UPI,Expense
2024-04-07,Shopping,Shopping expense,4906.22,UPI,Expense
2024-04-08,Shopping,Shopping expense,3255.89,Net Banking,Expense
2024-04-08,Bills,Bills expense,727.51,UPI,Expense
2024-04-09,Shopping,Shopping expense,2827.74,Net Banking,Expense
2024-04-09,Rent,Rent expense,14373.3,Net Banking,Expense
2024-04-09,Food,Food expense,442.7,Credit Card,Expense
2024-04-10,Shopping,Shopping expense,4023.06,Credit Card,Expense
2024-04-10,Rent,Rent expense,13894.64,UPI,Expense
2024-04-10,Entertainment,Entertainment expense,225.85,Debit Card,Expense
2024-04-10,Food,Food expense,515.6,Debit Card,Expense
2024-04-11,Transport,Transport expense,128.29,Debit Card,Expense
2024-04-12,Bills,Bills expense,1353.91,Credit Card,Expense
2024-04-12,Bills,Bills expense,1650.3,UPI,Expense
2024-04-13,Bills,Bills expense,1500.75,Net Banking,Expense
2024-04-13,Shopping,Shopping expense,1064.32,Cash,Expense
2024-04-13,Shopping,Shopping expense,2175.97,Net Banking,Expense
2024-04-14,Health,Health expense,2157.9,Credit Card,Expense
2024-04-14,Others,Others expense,922.81,Credit Card,Expense
2024-04-15,Food,Food expense,666.34,Cash,Expense
2024-04-15,Transport,Transport expense,193.38,UPI,Expense
2024-04-16,Food,Food expense,461.54,Debit Card,Expense
2024-04-16,Bills,Bills expense,1389.98,Cash,Expense
2024-04-17,Health,Health expense,689.24,Debit Card,Expense
2024-04-17,Transport,Transport expense,181.14,Credit Card,Expense
2024-04-18,Food,Food expense,410.86,Cash,Expense
2024-04-19,Shopping,Shopping expense,2655.95,Cash,Expense
2024-04-20,Food,Food expense,332.96,Credit Card,Expense
2024-04-20,Food,Food expense,701.23,Cash,Expense
2024-04-21,Food,Food expense,497.96,Debit Card,Expense
2024-04-21,Others,Others expense,828.06,Credit Card,Expense
2024-04-21,Education,Education expense,1798.64,Credit Card,Expense
2024-04-22,Entertainment,Entertainment expense,1109.4,Credit Card,Expense
2024-04-23,Shopping,Shopping expense,499.24,Debit Card,Expense
2024-04-23,Food,Food expense,149.84,Debit Card,Expense
2024-04-23,Shopping,Shopping expense,4253.32,UPI,Expense
2024-04-23,Shopping,Shopping expense,346.27,Debit Card,Expense
2024-04-24,Health,Health expense,1545.76,Net Banking,Expense
2024-04-24,Transport,Transport expense,79.29,Cash,Expense
2024-04-24,Shopping,Shopping expense,1074.96,Net Banking,Expense
2024-04-25,Bills,Bills expense,2601.77,UPI,Expense
2024-04-25,Food,Food expense,451.5,UPI,Expense
2024-04-25,Food,Food expense,307.2,Debit Card,Expense
2024-04-26,Rent,Rent expense,10485.73,Net Banking,Expense
2024-04-26,Shopping,Shopping expense,2501.99,Debit Card,Expense
2024-04-27,Bills,Bills expense,2342.06,UPI,Expense
2024-04-28,Bills,Bills expense,1966.34,Cash,Expense
2024-04-28,Bills,Bills expense,1446.93,Debit Card,Expense
2024-04-28,Transport,Transport expense,452.83,Debit Card,Expense
2024-04-28,Shopping,Shopping expense,1372.9,Cash,Expense
2024-04-28,Rent,Rent expense,10312.44,Net Banking,Expense
2024-04-29,Education,Education expense,541.44,UPI,Expense
2024-04-29,Food,Food expense,324.02,Cash,Expense
2024-04-29,Rent,Rent expense,13955.72,Net Banking,Expense
2024-04-29,Food,Food expense,654.4,Credit Card,Expense
2024-04-29,Food,Food expense,681.74,Debit Card,Expense
2024-04-30,Food,Food expense,63.68,Cash,Expense
2024-05-01,Shopping,Shopping expense,4986.83,Net Banking,Expense
2024-05-01,Salary,Monthly Salary,48005.0,Net Banking,Income
2024-05-02,Transport,Transport expense,485.65,Credit Card,Expense
2024-05-02,Health,Health expense,3304.87,Debit Card,Expense
2024-05-02,Food,Food expense,178.17,Cash,Expense
2024-05-02,Shopping,Shopping expense,4661.0,UPI,Expense
2024-05-02,Bills,Bills expense,1929.03,Debit Card,Expense
2024-05-03,Food,Food expense,627.12,Debit Card,Expense
2024-05-03,Food,Food expense,292.76,UPI,Expense
2024-05-03,Transport,Transport expense,268.58,Debit Card,Expense
2024-05-03,Food,Food expense,136.13,Net Banking,Expense
2024-05-03,Shopping,Shopping expense,1585.43,Debit Card,Expense
2024-05-04,Bills,Bills expense,885.91,Debit Card,Expense
2024-05-04,Rent,Rent expense,11728.13,Cash,Expense
2024-05-04,Food,Food expense,302.45,Debit Card,Expense
2024-05-04,Food,Food expense,97.53,Net Banking,Expense
2024-05-05,Others,Others expense,517.41,Credit Card,Expense
2024-05-05,Entertainment,Entertainment expense,583.82,Cash,Expense
2024-05-06,Shopping,Shopping expense,3849.09,Credit Card,Expense
2024-05-06,Bills,Bills expense,1678.94,Net Banking,Expense
2024-05-06,Transport,Transport expense,193.97,Net Banking,Expense
2024-05-06,Education,Education expense,5068.41,Debit Card,Expense
2024-05-07,Others,Others expense,230.23,Net Banking,Expense
2024-05-07,Shopping,Shopping expense,4704.03,UPI,Expense
2024-05-07,Food,Food expense,99.87,Debit Card,Expense
2024-05-07,Shopping,Shopping expense,2957.47,Debit Card,Expense
2024-05-08,Entertainment,Entertainment expense,365.57,Cash,Expense
2024-05-08,Entertainment,Entertainment expense,483.09,Net Banking,Expense
2024-05-09,Food,Food expense,173.2,Debit Card,Expense
2024-05-09,Entertainment,Entertainment expense,1363.87,Cash,Expense
2024-05-09,Bills,Bills expense,1397.08,Cash,Expense
2024-05-09,Health,Health expense,1691.29,Cash,Expense
2024-05-09,Entertainment,Entertainment expense,934.36,Credit Card,Expense
2024-05-10,Transport,Transport expense,247.46,Cash,Expense
2024-05-10,Transport,Transport expense,381.38,Credit Card,Expense
2024-05-10,Bills,Bills expense,1080.53,UPI,Expense
2024-05-10,Health,Health expense,1658.79,Debit Card,Expense
2024-05-10,Bills,Bills expense,2766.18,Net Banking,Expense
2024-05-11,Shopping,Shopping expense,761.11,Debit Card,Expense
2024-05-11,Education,Education expense,3952.39,UPI,Expense
2024-05-11,Transport,Transport expense,95.46,Credit Card,Expense
2024-05-11,Entertainment,Entertainment expense,1278.14,Debit Card,Expense
2024-05-11,Bills,Bills expense,2734.73,Credit Card,Expense
2024-05-12,Entertainment,Entertainment expense,388.18,Credit Card,Expense
2024-05-12,Transport,Transport expense,146.79,UPI,Expense
2024-05-13,Shopping,Shopping expense,360.96,Credit Card,Expense
2024-05-14,Bills,Bills expense,2406.15,Net Banking,Expense
2024-05-14,Health,Health expense,1499.91,UPI,Expense
2024-05-14,Entertainment,Entertainment expense,310.2,Cash,Expense
2024-05-14,Entertainment,Entertainment expense,342.23,Cash,Expense
2024-05-15,Transport,Transport expense,404.73,Credit Card,Expense
2024-05-15,Food,Food expense,221.94,Cash,Expense
2024-05-15,Shopping,Shopping expense,3656.18,Cash,Expense
2024-05-15,Shopping,Shopping expense,3530.95,Cash,Expense
2024-05-15,Bills,Bills expense,1129.5,Credit Card,Expense
2024-05-16,Transport,Transport expense,115.35,UPI,Expense
2024-05-16,Education,Education expense,3708.65,UPI,Expense
2024-05-17,Transport,Transport expense,247.14,Credit Card,Expense
2024-05-17,Education,Education expense,1343.43,Credit Card,Expense
2024-05-17,Bills,Bills expense,1764.72,Net Banking,Expense
2024-05-17,Shopping,Shopping expense,286.93,Cash,Expense
2024-05-18,Health,Health expense,3742.05,Net Banking,Expense
2024-05-19,Bills,Bills expense,2241.63,UPI,Expense
2024-05-19,Education,Education expense,4389.81,Cash,Expense
2024-05-20,Food,Food expense,482.22,Cash,Expense
2024-05-20,Shopping,Shopping expense,2235.83,Net Banking,Expense
2024-05-21,Shopping,Shopping expense,4684.96,Net Banking,Expense
2024-05-21,Education,Education expense,2979.62,Debit Card,Expense
2024-05-21,Food,Food expense,788.63,Cash,Expense
2024-05-21,Entertainment,Entertainment expense,336.86,Net Banking,Expense
2024-05-21,Education,Education expense,5284.43,Net Banking,Expense
2024-05-22,Bills,Bills expense,1978.19,Net Banking,Expense
2024-05-22,Transport,Transport expense,55.74,Cash,Expense
2024-05-22,Transport,Transport expense,407.34,Credit Card,Expense
2024-05-22,Food,Food expense,300.12,Cash,Expense
2024-05-23,Transport,Transport expense,282.58,Debit Card,Expense
2024-05-23,Education,Education expense,2404.9,Credit Card,Expense
2024-05-23,Transport,Transport expense,376.63,Debit Card,Expense
2024-05-23,Rent,Rent expense,9572.23,Net Banking,Expense
2024-05-24,Rent,Rent expense,8986.0,Credit Card,Expense
2024-05-24,Food,Food expense,423.78,Debit Card,Expense
2024-05-24,Transport,Transport expense,459.98,Cash,Expense
2024-05-24,Transport,Transport expense,302.88,UPI,Expense
2024-05-25,Shopping,Shopping expense,262.85,Credit Card,Expense
2024-05-25,Shopping,Shopping expense,1054.57,Debit Card,Expense
2024-05-25,Others,Others expense,265.56,Debit Card,Expense
2024-05-26,Transport,Transport expense,70.11,Net Banking,Expense
2024-05-26,Others,Others expense,778.18,UPI,Expense
2024-05-26,Bills,Bills expense,667.69,Credit Card,Expense
2024-05-27,Shopping,Shopping expense,1207.55,Credit Card,Expense
2024-05-27,Health,Health expense,979.53,Cash,Expense
2024-05-28,Food,Food expense,77.41,Credit Card,Expense
2024-05-28,Rent,Rent expense,11953.89,UPI,Expense
2024-05-29,Food,Food expense,631.65,Cash,Expense
2024-05-29,Rent,Rent expense,11670.73,Debit Card,Expense
2024-05-29,Transport,Transport expense,218.36,Net Banking,Expense
2024-05-29,Bills,Bills expense,888.1,Cash,Expense
2024-05-30,Food,Food expense,696.34,UPI,Expense
2024-05-30,Education,Education expense,2553.2,Credit Card,Expense
2024-05-30,Food,Food expense,533.0,Cash,Expense
2024-05-30,Transport,Transport expense,41.93,Cash,Expense
2024-05-31,Food,Food expense,586.98,UPI,Expense
2024-05-31,Shopping,Shopping expense,330.06,Net Banking,Expense
2024-05-31,Food,Food expense,223.31,Cash,Expense
2024-05-31,Shopping,Shopping expense,294.61,Cash,Expense
2024-05-31,Food,Food expense,649.94,UPI,Expense
2024-06-01,Food,Food expense,539.56,Debit Card,Expense
2024-06-01,Food,Food expense,124.58,Cash,Expense
2024-06-01,Food,Food expense,591.7,Cash,Expense
2024-06-01,Salary,Monthly Salary,51191.0,Net Banking,Income
2024-06-02,Entertainment,Entertainment expense,1929.03,Net Banking,Expense
2024-06-02,Education,Education expense,1275.95,Net Banking,Expense
2024-06-02,Transport,Transport expense,182.28,Credit Card,Expense
2024-06-02,Food,Food expense,524.93,Cash,Expense
2024-06-02,Shopping,Shopping expense,4271.01,Credit Card,Expense
2024-06-03,Food,Food expense,707.33,Cash,Expense
2024-06-03,Shopping,Shopping expense,3578.94,Cash,Expense
2024-06-03,Education,Education expense,3936.19,UPI,Expense
2024-06-04,Transport,Transport expense,417.8,Debit Card,Expense
